aas	ay
ab	ab
abakus	abacus	ac
abarbeiten	arbeit
abart	able	art	arty
abartig	arty
abbau	abbe	abbe
abbrach	bred
abbrachte	bright
abbremsen	brake
abbrennen	bren
abbringen	bring
abends	abends
aber	aber	aver	ab
abfordern	order	orders
abgeladen	unlade
ablagerung	ablation
ablesung	dives
abnorm	abnormous
abort	abort
abrupt	abrupt	abruption
absenden	send
absender	sender	send
absenken	absence
absetzung	setting
absolut	absolute
absolvent	absolver
absolvieren	absolver	absolve
absolvierung	absolve
absorbieren	absorb	absorbate	absorbing
absorption	absorption
abspalten	sport
abspannen	span
abspecken	speck
abspielen	spiel
absplittern	split
absprengen	spring
abspringen	spring
absprung	sprung	spring	spence
absprünge	sprung
abstinent	abstainer
abstrahieren	abstract
abstrakt	abstractive	abstract	abstraction
abstraktion	abstraction
abstrus	abstracted
absurd	absurd
absurdität	absurdity	absurdness
abszeß	abscess	abscess
abwesend	absence	absent
abwesenheit	absence
access	access
aceton	acetonic	acetone
acht	aft
achtel	after
achteln	after
achten	after
acidum	acid
ada	ade
adapter	adapter	adapt
adaptieren	adapt
adäquat	adequacy
adäquatheit	adequacy
addieren	adding	add
addition	addition
additiv	additional	additive
adel	adel
adelig	adelig
ader	ade	ad
adjektiv	adjectively	adjection
administration	administration
admiral	admiral
admiralität	admiral
adonis	adonic	adonis
adoptieren	adopt
adoption	adoption
adresse	address
adressieren	address
advent	advent
adverb	adverb
adverbial	adverbially
advokat	advocation	advocate
aerodynamik	aerodynamics	aerodynamic
aerodynamisch	aerodynamic
aeronautisch	aeronautic
aerostatik	aerostatic
affekt	affect	affection
affektiert	affected
affektion	affection
affinität	affinity
affirmativ	affirmative
affront	affront
afghane	afghan
afghanisch	afghan
afghanistan	afghanistan
afrika	africa	afric
afrikaner	african
after	after
agent	agent	agency
aggregat	aggregate
aggressiv	aggressively	aggressive
aggressor	aggressor
agieren	aging	act	age
agil	agile	agility	acting
agitation	agitative	agitation
agitator	agitator
agitatorisch	agitative
agitieren	acting
agonie	agonism
ägypten	egypt
ägypter	egypt
ahle	awl
ahorn	ahorse
aids	aids
akademie	academy
akademisch	academic
akklamation	ovation
akkord	accord
akkordeon	accordion
akkumulation	accumulation
akkumulieren	accumulation	accumulate
akne	acne
akrobat	acrobat
akrobatisch	acrobatic
akropolis	acropolis
akt	active	action	act
akteur	actor
aktie	action	acting	acted
aktion	action	acting	active
aktiv	active	acting	acted
aktiva	active
aktivieren	active
aktivierung	active
aktivist	active	activist
aktivität	activity	activeness
aktor	actor	action
aktualität	actuality
aktuell	actual	actually
akustisch	acoustic
akut	acute
akzeleration	acceleration	accelerative
akzent	accent
akzentlos	accents
akzept	acception	accept	accent
akzeptanz	acceptance
akzeptieren	acception	accept	accepting
alarm	alarm
alarmieren	alarming	alarm
alarmsignal	alarm
alaska	alaska	alaskan
alb	alb
albanien	albania
albanier	albania	albanian
albatros	albatross
albern	albert
albern	albert
album	album	alb
alchemist	chemist	alchemistic	alchemist
alchimie	alchemic
alert	alert
alge	alga
algebra	algebra
algebraisch	algebraic
algebren	algebra
algerien	algeria
algerier	algeria	algerian
algorithmisch	algorithmic
algorithmisch	algorithmic
algorithmus	algorithm
alias	alias	alia
alibi	alibi
alimente	aliment
alkali	alkali
alkalisch	alkali
alkohol	alcohol
alkoholiker	alcoholic
alkoholisch	alcoholic
all	ally	all	alls
all	ally	all	alls
allah	allah
allee	alley
allegorie	allegory
allein	alley
allergie	allergy
allergisch	allergic	allergy
allianz	alliance
allozieren	allocation
alltag	allay
alm	alma
alp	alp
alpen	alp
alphabet	alphabetic	alphabet
alphabetisch	alphabetic
alphanumerisch	alphanumeric
alpin	alpine
alpinist	alpine
als	als	alls	alt
also	also	als	alls
alt	alt
altar	altar	alter	alar
alter	alter	altera
älter	elan
altern	alter
alternativ	alternative
altertum	arts
alterung	alter
altruistisch	altruist	altruism	altruistically
am	am	ame	ama
amateur	amateur
amateurhaft	amateurish
amazone	amazon
ambition	ambition
ambitiös	ambitious
ambivalent	ambivalent
ambulant	ambulant
ambulanz	ambulance	ambulant
amerika	america
amme	ame	am
ammoniak	ammonia	ammoniac
ammonit	ammonite
amnesie	amnesia
amnestie	amnesty
amor	amor	amour	amore
ampel	ample
ampere	ampere
amphibie	amphibia	amphibian
amphitheater	amphitheater
amplitude	amplitude
amputation	amputation
amsel	apse
amulett	amulet
amüsement	amusement
amüsieren	amusing	amuse	musing
an	an
anachronistisch	anachronic	anachronistically
anal	anal
analog	analog
analogie	analogy
analphabet	analphabetic
analphabetisch	analphabetic
analysis	analysis
analytiker	analytic
analytisch	analytic	analytical
anämisch	anemic
anarchie	anarchy
anarchisch	anarchic
anarchismus	anarchist
anarchist	anarchist
anastatisch	anastatic
anatomie	anatomy	anatomical
anatomisch	anatomic	anatomy
andalusien	andalusia
andalusier	andalusia
andorra	andorra
andorranisch	andorran
androide	android
anecken	neck
anekdote	anecdote
anemone	anemone
anfallen	unfallen
anfang	anfang
anfangen	anfang
angel	angel	angels
angeln	angling	anger
angina	angina
angler	angler	angled	angle
anglikanisch	anglican
anglistik	angle
angola	angola
angolanisch	angolan
angst	angst
ängste	angst
anhielt	ancient
anilin	anile	anil
animalisch	animal
anis	ani	anise
ankara	ankara
anker	ance
anketten	ance
ankoppeln	copper
anlauf	an	non	un
anleger	niger
anlief	elief	elief
anlocken	unlock
annexe	annexe
annexion	annexion
anonym	anonymous
anonymität	anonymity
anormal	normal	norman
anpacken	unpack
anpressen	unpressed
anreisen	arrive
antarktis	antarctic
antarktisch	antarctic
antat	ant	ante
antenne	antenna
anthropoide	anthropoid
antibiotika	antibiotic
antibiotikum	antibiotic
antik	antic
antilope	antilope
antiquität	antiquity
antistatisch	astatic
antwort	answer
apache	apache
apart	apart
apartheid	apartheid
apartment	apartment
aperitif	aperitif
aphorismus	aphorist
apodiktisch	apodictic
apokalypse	apocalypse
apokalyptisch	apocalyptic
apologet	apologetic
apostolisch	apostolic
apostroph	apostrophic	apostrophe
appetenz	appetence	appetency	appetent
appetit	appetitive	appetition	appetite
applaus	applause
applikation	application
applikativ	application
applizieren	application	apply
approximation	approximation
april	april
apropos	apropos
aquarium	aquarius	aquarium
äquator	equator
äquidistant	equidistant
äquivalent	equivalent
äquivalenz	equivalence	equivalent
ar	ar	ara	are
ära	ara	era	erat
araber	arab
arabien	arabia	arabian
arabisch	arabic	arab	arabia
ararat	ararat
arbeit	arbeit
arbeiten	arbeit
arbeiter	arbeit
architekt	architect
architektur	architecture
archiv	archive	arched
areal	areal
arena	arena
arenen	arena
arg	argue
argument	argument
argumentation	argumentation
arie	aria	aries
arier	aria	arrier
aristokrat	aristocrat
aristokratisch	aristocratic
arithmetisch	arithmetic	arithmetician
arizona	arizona	arizonan
arkade	arcade
arkansas	arkansas
arktisch	arctic
arm	arm	arma
arm	arm	arma
armada	armada
armband	armband
armbänder	armband
armenien	armenia
armenier	armenia	armenian
armenisch	armed
armieren	arming	arm
ärmlich	armless
arnika	arnica
aroma	aroma
aromatisch	aromatic
aromen	aroma
arosa	arose	arouse
arrangement	arrangement	management
array	array
arrest	arrest
arrivieren	arriving
arrogant	arrogant
arroganz	arrogant
arsen	arsenic
art	art	arty
arten	arty	art	artes
artig	arty
artikel	article
artikulation	articulation
artist	artist	artists	artiste
artistisch	artistic	artist
as	as	ash	ass
asche	ask	ash	ashes
äsen	essen
asiate	asian
asiatisch	asiatic	asian
asket	ascetic
aspekt	aspect
asphalt	asphalt
aspirant	aspirant
aspiration	aspiration
aß	ass	ass	arm
asse	ass	asses
assembler	assembler
assessor	assessor
assisi	assize	asses
assistenz	assist
assoziation	association
assoziativ	association
assoziieren	association	associate
assoziiert	associated	associate
assyrien	assyria	assyrian
ast	ast	aster
aster	aster	astra
ästhet	aesthetic
ästhetisch	aesthetic
asthma	asthma
astrologie	aerology
astronaut	astronautic	astronaut
astronautik	astronautic
astronomie	astronomic	astronomy
astronomisch	astronomic
asyl	asylum
asymmetrisch	asymmetrically
asynchron	asynchronous
atelier	atelier
atempause	pause
atheismus	atheism	atheist
atheist	atheist	atheistic
atheist	atheist	atheistic
athen	athene
äther	ether	aether
ätherisch	ether
äthiopien	ethiopia
äthiopier	ethiopian
äthiopisch	ethiopic
athlet	athlete
athlet	athlete
äthyl	ethyl
atlantik	atlantic
atlantis	atlantis
atlantisch	atlantic
atlas	atlas
atmosphäre	atmosphere
atmosphärisch	atmospheric
ätna	etna
atoll	atoll
atom	atomic	atom
atomar	atomic	atomy
atomium	atomic	atom
attache	attache	attach
attacke	attack	attacker
attackieren	attacking	attack
attest	attest
attika	attic	attica	antic
attitüde	attitude
attraktion	attraction
attraktiv	attractive
attraktivität	attractivity
attribut	attribute
au	au	ou	non
audienz	audit	audience
auditorien	auditorium
auerochse	aurochs
auf	auf	huff
aufbinden	unbind	unbidden
auffinden	find	finder
auffing	fing	fin
auffischen	fish	fishes
auffordern	order	orders
aufforderung	order
aufgehoben	aufgehoben
aufgeschoben	aufgeschoben
aufwand	upwind
aufwärts	upward	upwards
aufwind	upwind
aug	fug
äugen	eugenic
august	august
auktion	auction
aula	fula
aus	fuse
ausmusternd	muster
australien	australia
