a	um
ab	aber	ab
abacus	abakus
abed	aber	haben
ablating	ablage
ablative	ablativ
ablatively	ablativ
abnormal	abnorm
abo	aber
abort	abort
aborting	abort
abortion	abort
abortionist	abort
abortive	abort
aborts	abort
abrades	abrede
abrupt	abrupt
abrupter	abrupt
abruptly	abrupt
absolute	absolut
absolutely	absolut
absoluter	absolut
absolution	absolut
absolutism	absolutismus
absolutist	absolutistisch
absolutistic	absolutistisch
absorb	absorbieren
absorbing	absorbieren
absorption	absorption
absorptions	absorption
abstinence	abstinenz
abstinent	abstinent
abstinently	abstinent
abstract	abstrakt
abstraction	abstraktion
abstractionist	abstraktion
abstractions	abstraktion
abstractly	abstrakt
abstracts	abstrakt
abstruse	abstrus
absurd	absurd
absurdities	absurdität
absurdity	absurdität
absurdness	absurdität
absurdum	absurd
abt	abt
academes	akademie
academia	akademie
academias	akademie
academic	akademisch
academical	akademisch
academically	akademisch
academician	akademiker
academics	akademie
academies	akademie
academy	akademie
accent	akzent
accents	akzent
accentuate	akzentuieren
accentuates	akzentuieren
accept	akzept
acceptable	akzeptabel
acceptance	akzeptanz
acceptor	akzept
accepts	akzept
access	access
acclamation	akklamation
acclamations	akklamation
acclimatization	akklimatisierung
acclimatize	akklimatisieren
acclimatizer	akklimatisieren
acclimatizes	akklimatisieren
acclimatizing	akklimatisierung
accord	akkord
accordion	akkordeon
accordions	akkordeon
accredit	akkreditieren
accreditee	akkreditieren
accrediting	akkreditieren
accumulation	akkumulation
accumulations	akkumulation
accumulator	akkumulator
accumulators	akkumulator
accuracy	akkurat
accurate	akkurat
accurately	akkurat
accusative	akkusativ
accusatively	akkusativ
accusatives	akkusativ
ace	asse
acetone	aceton
acetonic	aceton
ache	asche
aches	asche
achy	acht	achten
acne	akne
acnes	akne
acorn	korn
acorns	korn
acoustic	akustisch	akustik
acoustical	akustisch
acoustically	akustisch
acoustics	akustik
acquisition	akquisition
acquisitions	akquisition
acres	kresse
acrobat	akrobat
acrobatic	akrobatisch	akrobatik
acrobatically	akrobatisch
acrobatics	akrobatik
acrobats	akrobat
acropolis	akropolis
act	akt
actable	aktiv
acted	aktiv
acting	aktion
actinism	aktie
action	aktion
actions	aktion
activate	aktivieren
activates	aktivieren
activation	aktivierung
active	aktiv	aktivieren
actively	aktiv
actives	aktiv
activist	aktivist
activists	aktivist
activities	aktivität
activity	aktivität
actor	aktor	aktiv	akteur
actors	aktor
actress	akt
acts	aktion	akt
actual	aktuell
actualities	aktualität
actuality	aktualität
actualization	aktualisierung
actualize	aktualisieren
actualizes	aktualisieren
actualizing	aktualisierung	aktualisieren
actually	aktuell
acute	akut
acutely	akut
ad	ader
adage	adel
adam	ada
adapt	adapter
adapted	adapter
adapter	adapter
adapters	adapter
adapting	adapter
adaptive	adaptiv
adaptively	adaptiv
adaptor	adapter
adaptors	adapter
addictively	additiv
addison	addition
addition	addition
additions	addition
additive	additiv
additives	additiv
address	adresse
addressee	adresse	adressat
addresser	adresse
addresses	adresse
addrest	adresse
adequacy	adäquat
adequate	adäquat
adequately	adäquat
adjectival	adjektivisch
adjective	adjektiv
adjectives	adjektiv
adjutancy	adjutant
adjutant	adjutant
adjutants	adjutant
administrable	administrativ
administration	administration
administrations	administration
administrative	administrativ	administration
admirable	admiral
admiral	admiral
admirals	admiral
admiralship	admiralität
admiralty	admiralität
ado	ader
adonis	adonis
adoption	adoption
adoptions	adoption
adornment	ornament
adornments	ornament
adrenalin	adrenalin
adrenaline	adrenalin
adsorb	adsorbieren
adsorbate	adsorbieren
adsorbing	adsorbieren
advent	advent
advents	advent
adverb	adverb
adverbial	adverbial
adverbially	adverbial
advocacy	advokat
advocate	advokat
aerodynamic	aerodynamisch
aerodynamical	aerodynamisch
aerodynamically	aerodynamisch
aerodynamics	aerodynamik
aeronaut	astronaut
aeronautic	aeronautisch	aeronautik
aeronautical	aeronautisch
aeronautically	aeronautisch
aeronautics	aeronautik	astronautik
aeronauts	astronaut
aesthetic	ästhetisch
aesthetically	ästhetisch
aesthetics	ästhetik
aether	äther
aetheric	ätherisch
affect	affekt	effekt
affectation	affektion
affectations	affektion
affected	affektiert
affecter	affekt
affecting	affektion	affekt
affection	affektion
affections	affektion
affectively	effektiv
affects	affekt	effekt	affektion
affinity	affinität
affirmable	affirmativ
affirmative	affirmativ
affirmatively	affirmativ
affront	affront
affronts	affront
afghan	afghane	afghanisch
afghani	afghanisch	afghane
afghanis	afghane
afghanistan	afghanistan
afghans	afghane
africa	afrika
african	afrikanisch	afrika
aft	acht	after	achten
after	after	achten
afters	after
agate	agieren
age	agent	agieren
agency	agent	agentur
agent	agent
agents	agent
ageratum	ungeraten
ages	hagen
aggregate	aggregat
aggregating	aggregat
aggressed	aggressiv
aggression	aggression
aggressions	aggression
aggressive	aggressiv
aggressively	aggressiv
aggressor	aggressor
aggressors	aggressor
agile	agil
agility	agil
aging	agent
agitate	agitieren
agitating	agitation
agitation	agitation
agitations	agitation
agitator	agitator
agitators	agitator
aglitter	glitzern
agonies	agonie
agony	agonie
agrarian	agrarisch
ahorse	ahorn
aiders	anders
aids	aids
aimer	eimer
aimers	eimer
airest	arrest
airily	haarig
al	all
alar	altar	alter
alarm	alarm	alarmieren
alarming	alarmieren
alarmist	alarm
alary	altar
alaska	alaska
alaskan	alaska
alaskas	alaska
alb	album	alb	halb
albania	albanien	albanier
albanian	albanisch
albatross	albatros
album	album
albumin	album
alchemies	chemie
alchemist	alchemist
alchemists	alchemist
alchemy	chemie	alchimie
alchymies	alchimie
alcohol	alkohol	alkoholisch
alcoholic	alkoholisch
alcoholically	alkoholisch
alcohols	alkohol
alee	allee
alert	alert
alerter	alert
alerting	alert
alertly	alert
alerts	alert
alga	alge
algae	alge
algal	alge
algebra	algebra	algebren
algebraic	algebraisch
algebraically	algebraisch
algebras	algebra
algeria	algerien
algerians	algerien
algorithm	algorithmus	algorithmen
algorithmic	algorithmisch
alias	alias
alibi	alibi
alibies	alibi
aliment	alimente
aliments	alimente
alit	elite
alkali	alkali	alkalisch
alkalic	alkalisch
alkalies	alkali
all	all	hall
allah	allah
allay	alltag
allegoric	allegorisch
allegorical	allegorisch
allegorically	allegorisch
allegories	allegorie
allegorist	allegorie
allegory	allegorie	allegorisch
allen	hallen
allergic	allergisch
allergies	allergie
allergy	allergie	allergisch
alley	allee
alliance	allianz
alliances	allianz
allium	all
alls	all	als
ally	all
alma	alm
alp	alpen	alp
alphabet	alphabet
alphabetic	alphabetisch
alphabetical	alphabetisch
alphabetically	alphabetisch
alphabets	alphabet
alphanumeric	alphanumerisch
alpine	alpin
alpinist	alpinist
alpinists	alpinist
also	als	hals	also
alt	alt	alter
altar	altar	alter	altern
altars	altar	alter	altern
alter	alter	altern	halter
alteration	alter
altered	alter	halter
altering	alter
alternate	alternieren
alternated	alternativ
alternates	alternieren
alters	alter	altern
altho	alter
alto	alt	alter
altos	alt
altruistic	altruistisch
altruistically	altruistisch
aluminum	aluminium
am	am
ama	am
amateur	amateur
amateurs	amateur
amatory	amateur
amazon	amazone
amazons	amazone
ambition	ambition
ambitions	ambition
ambivalence	ambivalenz
ambivalent	ambivalent
ambivalently	ambivalent
ambulance	ambulanz
ambulances	ambulanz
ambulant	ambulant
america	amerika
american	amerikanisch	amerikaner
americanize	amerikanisieren
americas	amerika
amirate	emirat
ammoniacs	ammoniak
ammonite	ammonit
ammunition	munition
amnesias	amnesie
amnesics	amnesie
amnesties	amnestie
amorous	amor
amorphous	amorph
amortize	amortisieren
amour	amor
amours	amor
ampere	ampere
amperes	ampere
amphibia	amphibie
amphibiousness	amphibie
amphitheater	amphitheater
amphitheaters	amphitheater
ample	ampel
amplitude	amplitude
