abalone	abalone
aberration	aberration
abigail	abigajil	 abigail
ablative	ablativ
abnormal	abnormal	 anormal	 unnormal
aborigine	aborigine
abort	abort	 schwangerschaftsabbruch	 abbruch
abraham	abraham
abrasion	abrasion
abrupt	abrupt
abruptly	abrupt
absinth	absinth
absinthe	absinth
absolution	absolution
absolutist	absolutistisch	 absolutist
absorption	absorption
abstinence	abstinenz
abstinent	abstinent	 abstinenzler	 enthaltsam
abstract	abstrahieren	 auszug	 zusammenfassung	 abstrakt
abstraction	abstraktion
absurd	absurd
absurdity	absurdität
acetaldehyde	acetaldehyd
acetate	azetat
acetone	azeton	 aceton	 dimethylketon
acetylcholine	azetylcholin
acetylene	acetylen
achilles	achilleus
acrobat	akrobat	 akrobatin
acronym	akronym
act	akte	 akt
actinium	actinium
action	action	 aktion	 funktion
activist	aktivistin	 aktivist
adam	adam
adapter	adapter
addition	addition
additive	additiv
adenine	adenin
adieu	adieu
adjutant	adjutant	 assistent
administrator	verwaltungsleiter	 nachlassverwalter	 verwalter	 administrator	 sachbearbeiter
admiral	admiral
admiralty	admiralität	 admiralsamt	 admiralswürde
adrenaline	adrenalin
advent	advent
aerodynamic	aerodynamisch
aerodynamics	aerodynamik
aerology	aerologie
aeronautic	aeronautisch
afar	afar	 danakil
affect	affekt
affirmative	affirmativer satz
affix	affix
afghan	afghanisch	 afghanisch	 afghane
afghanistan	afghanistan
africa	afrika
afrikaans	afrikander	 afrikaans
aftershave	aftershave
agenda	agenda	 tagesordnung
agent	agent
aggression	aggression
aggressive	angriffslustig	 aggressiv
aggressor	aggressor
agile	agil
agitation	agitation
agitator	agitator
agitprop	agitprop
agoraphobia	agoraphobie
aha	aha
aids	aids
alarm	alarm schlagen	 alarmstimmung	 alarmieren	 alarmsignal	 alarm
alarmism	alarmismus
alaska	alaska
albany	albany
albatross	albatros
albedo	albedo
alberta	alberta
albino	albino
album	album
alchemist	alchemist
ale	ale
algebra	algebra
algiers	algier
algorithm	algorithmus
alibi	alibi
alice	alice
all	all	 alle
allah	allah
allegoric	allegorisch
allele	allel
alleluia	halleluja
allergen	allergen
alley	allee
alligator	alligator
allotropic	allotrop
